编号,一级标题,二级标题,三级标题,四级标题,链接标题,HTTP方法,URI,HTTP代码,载荷,附件
158,调剂信息管理,学生定制信息列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=tiaoji&act=plusInfoList&totalnum=9485&pagenum=7,200,NULL,NULL
159,调剂信息管理,学生定制信息列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=tiaoji&act=plusInfoList&totalnum=9485&pagenum=8,200,NULL,NULL
160,调剂信息管理,学生定制信息列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=tiaoji&act=plusInfoList&totalnum=9485&pagenum=9,200,NULL,NULL
161,调剂信息管理,学校信息列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=tiaoji&act=list&type=school&totalnum=25860&pagenum=1,200,NULL,NULL
162,调剂信息管理,学校信息列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=tiaoji&act=list&type=school&totalnum=25860&pagenum=2,200,NULL,NULL
163,调剂信息管理,学校信息列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=tiaoji&act=list&type=school&totalnum=25860&pagenum=3,200,NULL,NULL
164,调剂信息管理,学校信息列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=tiaoji&act=list&type=school&totalnum=25860&pagenum=4,200,NULL,NULL
165,调剂信息管理,学校信息列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=tiaoji&act=list&type=school&totalnum=25860&pagenum=5,200,NULL,NULL
166,调剂信息管理,学校信息列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=tiaoji&act=list&type=school&totalnum=25860&pagenum=6,200,NULL,NULL
167,调剂信息管理,学校信息列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=tiaoji&act=list&type=school&totalnum=25860&pagenum=7,200,NULL,NULL
168,调剂信息管理,学校信息列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=tiaoji&act=list&type=school&totalnum=25860&pagenum=8,200,NULL,NULL
169,调剂信息管理,学校信息列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=tiaoji&act=list&type=school&totalnum=25860&pagenum=9,200,NULL,NULL
170,订单系统,在线支付列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=pay&act=List&totalnum=3498&pagenum=1,200,NULL,NULL
171,订单系统,在线支付列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=pay&act=List&totalnum=3498&pagenum=2,200,NULL,NULL
172,订单系统,在线支付列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=pay&act=List&totalnum=3498&pagenum=3,200,NULL,NULL
173,订单系统,在线支付列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=pay&act=List&totalnum=3498&pagenum=4,200,NULL,NULL
174,订单系统,在线支付列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=pay&act=List&totalnum=3498&pagenum=5,200,NULL,NULL
175,订单系统,在线支付列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=pay&act=List&totalnum=3498&pagenum=6,200,NULL,NULL
176,订单系统,在线支付列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=pay&act=List&totalnum=3498&pagenum=7,200,NULL,NULL
177,订单系统,在线支付列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=pay&act=List&totalnum=3498&pagenum=8,200,NULL,NULL
178,订单系统,在线支付列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=pay&act=List&totalnum=3498&pagenum=9,200,NULL,NULL
179,笔记管理,笔记列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=note&act=List&totalnum=91129&pagenum=1,200,NULL,NULL
180,笔记管理,笔记列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=note&act=List&totalnum=91129&pagenum=2,200,NULL,NULL
181,笔记管理,笔记列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=note&act=List&totalnum=91129&pagenum=3,200,NULL,NULL
182,笔记管理,笔记列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=note&act=List&totalnum=91129&pagenum=4,200,NULL,NULL
183,笔记管理,笔记列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=note&act=List&totalnum=91129&pagenum=5,200,NULL,NULL
184,笔记管理,笔记列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=note&act=List&totalnum=91129&pagenum=6,200,NULL,NULL
185,笔记管理,笔记列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=note&act=List&totalnum=91129&pagenum=7,200,NULL,NULL
186,笔记管理,笔记列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=note&act=List&totalnum=91129&pagenum=8,200,NULL,NULL
187,笔记管理,笔记列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=note&act=List&totalnum=91129&pagenum=9,200,NULL,NULL
188,新东方辅导班管理,新东方辅导班列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=xinDongFang&act=list&totalnum=526&pagenum=1,200,NULL,NULL
189,新东方辅导班管理,新东方辅导班列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=xinDongFang&act=list&totalnum=526&pagenum=2,200,NULL,NULL
190,新东方辅导班管理,新东方辅导班列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=xinDongFang&act=list&totalnum=526&pagenum=3,200,NULL,NULL
191,新东方辅导班管理,新东方辅导班列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=xinDongFang&act=list&totalnum=526&pagenum=4,200,NULL,NULL
192,新东方辅导班管理,新东方辅导班列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=xinDongFang&act=list&totalnum=526&pagenum=5,200,NULL,NULL
193,新东方辅导班管理,新东方辅导班列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=xinDongFang&act=list&totalnum=526&pagenum=6,200,NULL,NULL
194,新东方辅导班管理,新东方辅导班列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=xinDongFang&act=list&totalnum=526&pagenum=7,200,NULL,NULL
195,新东方辅导班管理,新东方辅导班列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=xinDongFang&act=list&totalnum=526&pagenum=8,200,NULL,NULL
196,新东方辅导班管理,新东方辅导班列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=xinDongFang&act=list&totalnum=526&pagenum=9,200,NULL,NULL
197,会员管理,添加会员,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=user&act=insert,200,./postdata/197.json,NULL
198,会员管理,添加会员,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=user&act=insert,200,./postdata/198.json,NULL
199,会员管理,添加会员,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=user&act=insert,200,./postdata/199.json,NULL
200,会员管理,添加会员,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=user&act=insert,200,./postdata/200.json,NULL
201,网站信息管理,添加网站信息管理,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=info&act=Insert,200,./postdata/201.json,NULL
202,网站信息管理,添加网站信息管理,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=info&act=Insert,200,./postdata/202.json,NULL
203,网站信息管理,添加网站信息管理,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=info&act=Insert,200,./postdata/203.json,NULL
204,网站信息管理,添加网站信息管理,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=info&act=Insert,200,./postdata/204.json,NULL
205,网站信息管理,添加网站信息管理,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=info&act=Insert,200,./postdata/205.json,NULL
206,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/206.json,NULL
207,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/207.json,NULL
208,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/208.json,NULL
209,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/209.json,NULL
210,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/210.json,NULL
211,门类学科,添加门类,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=subjectType&act=Insert,200,./postdata/211.json,NULL
212,门类学科,添加门类,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=subjectType&act=Insert,200,./postdata/212.json,NULL
213,门类学科,添加门类,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=subjectType&act=Insert,200,./postdata/213.json,NULL
214,门类学科,添加门类,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=subjectType&act=Insert,200,./postdata/214.json,NULL
215,门类学科,添加门类,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=subjectType&act=Insert,200,./postdata/215.json,NULL
216,门类学科,添加学科,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=subject&act=Insert,200,./postdata/216.json,NULL
217,门类学科,添加学科,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=subject&act=Insert,200,./postdata/217.json,NULL
218,门类学科,添加学科,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=subject&act=Insert,200,./postdata/218.json,NULL
219,门类学科,添加学科,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=subject&act=Insert,200,./postdata/219.json,NULL
220,门类学科,添加学科,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=subject&act=Insert,200,./postdata/220.json,NULL
221,学校管理,添加学校,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=school&act=Insert,200,./postdata/221.json,NULL
222,学校管理,添加学校,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=school&act=Insert,200,./postdata/222.json,NULL
223,学校管理,添加学校,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=school&act=Insert,200,./postdata/223.json,NULL
224,学校管理,添加学校,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=school&act=Insert,200,./postdata/224.json,NULL
225,学校管理,添加学校,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=school&act=Insert,200,./postdata/225.json,NULL
226,学院管理,添加学院,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=college&act=Insert,200,./postdata/226.json,NULL
227,学院管理,添加学院,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=college&act=Insert,200,./postdata/227.json,NULL
228,学院管理,添加学院,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=college&act=Insert,200,./postdata/228.json,NULL
229,学院管理,添加学院,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=college&act=Insert,200,./postdata/229.json,NULL
230,学院管理,添加学院,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=college&act=Insert,200,./postdata/230.json,NULL
231,专业管理,添加专业名称,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=Insert,200,./postdata/231.json,NULL
232,专业管理,添加专业名称,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=Insert,200,./postdata/232.json,NULL
233,专业管理,添加专业名称,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=Insert,200,./postdata/233.json,NULL
234,专业管理,添加专业名称,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=Insert,200,./postdata/234.json,NULL
235,专业管理,添加专业名称,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=Insert,200,./postdata/235.json,NULL
236,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/236.json,NULL
237,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/237.json,NULL
238,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/238.json,NULL
239,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/239.json,NULL
240,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/240.json,NULL
241,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/241.json,NULL
242,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/242.json,NULL
243,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/243.json,NULL
244,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/244.json,NULL
245,新闻管理,添加新闻,NULL,NULL,NULL,POST,/admin2m0GHi12MA12ge/module/index.php?module=news&act=Insert,200,./postdata/245.json,NULL
